[2017-05-23 21:00:05] my_logger.INFO: Lista Post [] []
[2017-05-23 21:00:49] my_logger.INFO: Lista Post [] []
[2017-05-23 21:00:50] my_logger.INFO: Lista Post [] []
[2017-05-23 21:00:50] my_logger.INFO: Lista Post [] []
[2017-05-24 08:46:45] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:47:25] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:48:14] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:48:14] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:48:15] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:50:10] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:50:11] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:50:11] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:50:11] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:50:11] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:50:12] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:51:22] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:55:04] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:55:05] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:16] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:17] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:17] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:31] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:31] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:32] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 08:57:32] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:01:09] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:01:13] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:01:43] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:01:43] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:01:43] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:02:30] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:02:31] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:02:46] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:02:46] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:02:59] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:02:59] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:03:05] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:05:21] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:07:36] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:07:37] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:07:51] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:07:52] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:08:21] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:08:42] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:08:43] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:09:40] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:09:40] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 09:15:07] my_logger.INFO: Home Container Caricato [] []
